,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
2556,DalgTekin,,446,169,8949,2021-01-03 18:26:47,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2559,dePjae,"İstanbul, Türkiye",142,80,5299,2021-01-03 16:32:10,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2560,feslosum,,339,550,9981,2021-01-03 16:29:46,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2561,EmineKaraer10,Ankara,1494,1347,19895,2021-01-03 16:11:09,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2562,KbSonsuza,KB ,52,336,27844,2021-01-03 15:52:02,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2570,arasm01,"Adana, Türkiye",67,79,590,2021-01-03 14:21:49,2,rahmet le anıyoruz ve gülümsüyoruz 
2571,mehmetarass01,"Seyhan, Adana",113,189,3763,2021-01-03 14:21:25,2,rahmet le anıyoruz ve gülümsüyoruz 
2576,Nomade_inTr,Başkentin biri,66,66,514,2021-01-03 13:22:48,0,güzel reklam olmuş 
2579,atac_basar,"İstanbul, Türkiye",1554,208,4608,2021-01-03 13:00:43,0, çok güzel bir reklam olmuş
2584,memmed_memmedli,Azerbaijan,264,184,1462,2021-01-03 10:56:46,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2585,MehmetEminOzs17,"Kuşadası, Türkiye",3340,7448,76394,2021-01-03 10:32:04,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2593,ABDPOSTCOM,"New Jersey, USA",2288,1072,28942,2021-01-03 08:27:17,0,kemal sunal ziraat bankası reklamında ziraat bankası nın kemal sunal lı reklamı son günlerin en çok konuşulan konusu oldu başlığı ile lanse edilen reklam filminde mehmet kurt yeşilçam ın ustası kemal sunal a m
2606,NMuslera1,Fethiye,829,4449,67994,2021-01-02 21:13:36,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2624,theetraderr,,504,167,5835,2021-01-02 16:35:50,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2625,asamettbulutt,Samsun,142,423,5730,2021-01-02 16:26:22,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2626,umuttyldz_,,94,216,2115,2021-01-02 15:51:51,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2627,AnatoliaTim,Vuslat,1433,1675,20294,2021-01-02 15:46:36,0,ziraatbank ın kemal sunal hologramı ile ya da bilgisayar simülasyonu ile yapılan reklamı baya güzel olmuş
2628,yuksel061,Ankara,348,61,1134,2021-01-02 15:44:32,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2629,Zeynepbozx,"Antalya, Türkiye",193,217,1161,2021-01-02 15:39:00,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
